fault_type,precision,recall,f1,total_seq,fault_seq
CAMERA_OFFLINE,0.3909,1.0,0.5621,2371,240
FPS_DEGRADATION,0.3828,0.9667,0.5485,2371,240
FRAME_DROP,0.3859,0.9792,0.5536,2371,240
LATENCY_DEGRADATION,0.3915,0.9542,0.5552,2371,240
BLUR_DEGRADATION,0.3427,0.8125,0.4821,2371,240
OCR_QUALITY,0.3188,0.7292,0.4436,2371,240
RESOURCE_SATURATION,0.3711,0.9,0.5255,2371,240
NETWORK_INSTABILITY,0.3899,0.9958,0.5604,2371,240
EXTERNAL_TRAFFIC_NORMAL_DEVICE,0.0,0.0,0.0,2371,0
