fault_type,precision,recall,f1,total_seq,fault_seq
CAMERA_OFFLINE,0.6107,1.0,0.7583,2371,240
FPS_DEGRADATION,0.6005,0.9583,0.7384,2371,240
FRAME_DROP,0.6036,0.9708,0.7444,2371,240
LATENCY_DEGRADATION,0.5995,0.9542,0.7363,2371,240
BLUR_DEGRADATION,0.5189,0.6875,0.5914,2371,240
OCR_QUALITY,0.4899,0.6083,0.5428,2371,240
RESOURCE_SATURATION,0.5831,0.8917,0.7051,2371,240
NETWORK_INSTABILITY,0.6107,1.0,0.7583,2371,240
EXTERNAL_TRAFFIC_NORMAL_DEVICE,0.0,0.0,0.0,2371,0
